LOCATION: Hollandse Kust zuid
SYSTEM SERIAL: HKZB
TIMESTAMP (ISO-8601) UTC,WindDir004m deg,WindDir030m deg,WindDir040m deg,WindDir040m_ref deg,WindDir060m deg,WindDir080m deg,WindDir100m deg,WindDir120m deg,WindDir140m deg,WindDir160m deg,WindDir180m deg,WindDir200m deg,WindGust004m m/s,WindSpeed004m m/s,WindSpeed030mh m/s,WindSpeed040mh m/s,WindSpeed040m_refh m/s,WindSpeed060mh m/s,WindSpeed080mh m/s,WindSpeed100mh m/s,WindSpeed120mh m/s,WindSpeed140mh m/s,WindSpeed160mh m/s,WindSpeed180mh m/s,WindSpeed200mh m/s,TI 030m,TI 040m,TI 040m ref,TI 060m,TI 080m,TI 100m,TI 120m,TI 140m,TI 160m,TI 180m,TI 200m
2016-11-16T00:00:00Z, 206.367190, 210.585940, 215.507810, 216.914060, 218.671880, 227.460940, 226.757810, 229.218750, 232.382810, 233.437500, 236.953130, 233.085940,   5.742190,   4.746090,   6.210940,   6.445310,   6.445310,   7.324220,   7.675780,   7.382810,   7.617190,   7.734380,   7.675780,   7.500000,   7.500000,   0.115967,   0.129395,   0.123291,   0.092773,   0.093994,   0.076904,   0.108643,   0.120850,   0.090332,   0.133057,   0.111084
2016-11-16T00:10:00Z, 206.367190, 213.750000, 216.210940, 215.507810, 217.617190, 221.484380, 224.296880, 228.515630, 228.867190, 232.382810, 230.976560, 232.382810,   5.449220,   4.394530,   5.976560,   6.386720,   6.386720,   6.914060,   7.207030,   7.382810,   7.500000,   7.792970,   8.027340,   7.968750,   8.085940,   0.141602,   0.112305,   0.097656,   0.086670,   0.109863,   0.087891,   0.079346,   0.093994,   0.115967,   0.112305,   0.124512
2016-11-16T00:20:00Z, 210.234380, 212.695310, 215.507810, 214.101560, 217.265630, 220.429690, 225.000000, 226.054690, 226.757810, 228.164060, 228.515630, 229.570310,   6.210940,   4.570310,   5.625000,   6.035160,   5.976560,   6.738280,   7.265630,   7.324220,   7.617190,   7.675780,   7.968750,   7.734380,   7.792970,   0.109863,   0.123291,   0.103760,   0.145264,   0.101318,   0.086670,   0.076904,   0.107422,   0.076904,   0.129395,   0.118408
2016-11-16T00:30:00Z, 206.367190, 211.992190, 211.289060, 213.750000, 213.750000, 215.859380, 214.101560, 215.859380, 219.726560, 215.507810, 215.507810, 219.023440,   5.625000,   4.101560,   5.917970,   6.503910,   6.445310,   7.089840,   7.500000,   7.792970,   8.027340,   7.792970,   7.558590,   7.675780,   7.851560,   0.155029,   0.090332,   0.107422,   0.085449,   0.098877,   0.086670,   0.096436,   0.124512,   0.122070,   0.122070,   0.115967
2016-11-16T00:40:00Z, 204.960940, 209.882810, 209.179690, 208.828130, 210.234380, 212.343750, 214.804690, 222.890630, 221.835940, 222.890630, 221.835940, 225.000000,   5.976560,   5.039060,   6.269530,   6.796880,   6.972660,   7.207030,   7.851560,   8.261720,   8.437500,   8.437500,   8.437500,   8.554690,   8.613280,   0.119629,   0.101318,   0.109863,   0.090332,   0.090332,   0.098877,   0.114746,   0.089111,   0.123291,   0.108643,   0.103760
2016-11-16T00:50:00Z, 204.609380, 210.585940, 209.179690, 209.882810, 215.507810, 211.289060, 215.507810, 220.429690, 220.078130, 221.835940, 225.703130, 224.296880,   5.742190,   4.980470,   6.445310,   6.738280,   6.738280,   7.207030,   7.851560,   8.085940,   8.085940,   8.496090,   8.671880,   8.554690,   8.378910,   0.122070,   0.129395,   0.113525,   0.108643,   0.096436,   0.103760,   0.108643,   0.107422,   0.109863,   0.130615,   0.085449
2016-11-16T01:00:00Z, 207.070310, 210.234380, 211.992190, 211.640630, 212.343750, 214.453130, 215.859380, 219.726560, 218.671880, 220.429690, 220.078130, 225.351560,   6.328130,   5.039060,   6.503910,   7.089840,   7.089840,   7.382810,   8.027340,   8.320310,   8.613280,   8.613280,   8.671880,   9.082030,   8.730470,   0.113525,   0.104980,   0.112305,   0.106201,   0.108643,   0.106201,   0.114746,   0.125732,   0.133057,   0.124512,   0.128174
2016-11-16T01:10:00Z, 204.960940, 208.828130, 211.992190, 208.476560, 211.640630, 212.343750, 212.695310, 216.210940, 214.804690, 216.210940, 217.265630, 218.671880,   6.093750,   5.156250,   6.738280,   7.089840,   7.148440,   7.792970,   8.378910,   8.496090,   8.554690,   9.199220,   9.140630,   9.023440,   8.730470,   0.150146,   0.111084,   0.086670,   0.104980,   0.107422,   0.079346,   0.106201,   0.130615,   0.118408,   0.126953,   0.181885
2016-11-16T01:20:00Z, 203.554690, 210.234380, 206.015630, 207.070310, 208.125000, 211.640630, 211.992190, 211.992190, 211.640630, 219.023440, 219.023440, 219.375000,   6.621090,   5.449220,   7.265630,   7.500000,   7.382810,   8.496090,   8.964840,   9.140630,   9.140630,   9.433590,   9.433590,   9.375000,   8.964840,   0.131836,   0.104980,   0.123291,   0.102539,   0.123291,   0.101318,   0.118408,   0.130615,   0.120850,   0.134277,   0.129395
2016-11-16T01:30:00Z, 202.851560, 208.828130, 206.367190, 206.367190, 204.960940, 210.585940, 207.773440, 213.046880, 217.968750, 216.914060, 224.296880, 219.023440,   6.855470,   5.800780,   7.382810,   7.792970,   7.910160,   8.437500,   9.082030,   9.140630,   9.316410,   9.199220,   9.199220,   9.316410,   9.199220,   0.103760,   0.089111,   0.086670,   0.090332,   0.097656,   0.100098,   0.092773,   0.115967,   0.108643,   0.117188,   0.112305
