LOCATION: Hollandse Kust zuid
SYSTEM SERIAL: HKZB
TIMESTAMP (ISO-8601) UTC;WindDir004m deg;WindDir030m deg;WindDir040m deg;WindDir040m_ref deg;WindDir060m deg;WindDir080m deg;WindDir100m deg;WindDir120m deg;WindDir140m deg;WindDir160m deg;WindDir180m deg;WindDir200m deg;WindGust004m m/s;WindSpeed004m m/s;WindSpeed030mh m/s;WindSpeed040mh m/s;WindSpeed040m_refh m/s;WindSpeed060mh m/s;WindSpeed080mh m/s;WindSpeed100mh m/s;WindSpeed120mh m/s;WindSpeed140mh m/s;WindSpeed160mh m/s;WindSpeed180mh m/s;WindSpeed200mh m/s;TI 030m;TI 040m;TI 040m ref;TI 060m;TI 080m;TI 100m;TI 120m;TI 140m;TI 160m;TI 180m;TI 200m
2018-04-06T00:00:00Z; 150.468750; 156.796880; 158.203130; 155.742190; 162.773440; 165.234380; 169.101560; 172.968750; 172.617190; 172.265630; 175.078130; 173.320310;   5.214840;   4.160160;   4.921880;   5.156250;   5.214840;   5.625000;   6.093750;   6.328130;   6.328130;   6.152340;   6.035160;   5.976560;   6.152340;   0.084229;   0.108643;   0.113525;   0.100098;   0.079346;   0.084229;   0.073242;   0.076904;   0.070801;   0.081787;   0.059814
2018-04-06T00:10:00Z; 147.304690; 152.578130; 154.687500; 151.171880; 156.445310; 158.554690; 164.531250; 168.046880; 166.992190; 169.453130; 170.156250; 168.046880;   6.093750;   4.570310;   5.273440;   5.625000;   5.625000;   5.976560;   6.503910;   6.621090;   6.796880;   6.562500;   6.503910;   6.269530;   6.445310;   0.086670;   0.064697;   0.092773;   0.087891;   0.080566;   0.084229;   0.083008;   0.070801;   0.086670;   0.087891;   0.096436
2018-04-06T00:20:00Z; 142.382810; 149.765630; 149.062500; 150.117190; 152.929690; 158.906250; 162.421880; 165.585940; 165.234380; 166.992190; 165.937500; 168.750000;   5.800780;   4.570310;   5.566410;   5.625000;   5.683590;   6.093750;   6.562500;   6.855470;   6.621090;   6.445310;   6.562500;   6.445310;   6.386720;   0.098877;   0.090332;   0.089111;   0.093994;   0.075684;   0.075684;   0.074463;   0.083008;   0.075684;   0.061035;   0.080566
2018-04-06T00:30:00Z; 139.570310; 148.007810; 148.007810; 148.359380; 153.632810; 160.664060; 162.773440; 164.882810; 164.531250; 164.531250; 164.179690; 162.421880;   6.035160;   4.394530;   5.097660;   5.507810;   5.566410;   6.152340;   6.796880;   6.738280;   6.503910;   6.386720;   6.386720;   6.386720;   6.093750;   0.083008;   0.085449;   0.075684;   0.085449;   0.075684;   0.081787;   0.095215;   0.079346;   0.083008;   0.095215;   0.095215
2018-04-06T00:40:00Z; 141.328130; 146.953130; 150.820310; 148.359380; 152.929690; 160.664060; 165.937500; 165.937500; 165.585940; 165.585940; 166.289060; 164.179690;   5.742190;   4.511720;   5.390630;   5.566410;   5.507810;   6.210940;   6.796880;   6.796880;   6.503910;   6.445310;   6.386720;   6.386720;   6.035160;   0.087891;   0.115967;   0.108643;   0.093994;   0.080566;   0.090332;   0.108643;   0.084229;   0.090332;   0.111084;   0.096436
2018-04-06T00:50:00Z; 140.273440; 146.601560; 147.304690; 147.656250; 150.820310; 159.257810; 161.015630; 161.015630; 163.476560; 163.125000; 163.476560; 164.531250;   6.210940;   4.863280;   5.683590;   6.093750;   6.093750;   6.738280;   7.031250;   7.089840;   6.855470;   6.796880;   6.621090;   6.445310;   6.386720;   0.091553;   0.087891;   0.097656;   0.087891;   0.080566;   0.072021;   0.112305;   0.085449;   0.061035;   0.096436;   0.087891
2018-04-06T01:00:00Z; 138.515630; 145.546880; 145.546880; 145.898440; 152.226560; 151.875000; 158.906250; 159.257810; 161.015630; 161.718750; 164.179690; 164.531250;   5.917970;   4.746090;   5.625000;   6.093750;   5.917970;   6.679690;   7.148440;   7.558590;   7.148440;   7.148440;   6.914060;   6.972660;   6.738280;   0.085449;   0.098877;   0.089111;   0.080566;   0.073242;   0.086670;   0.084229;   0.076904;   0.108643;   0.090332;   0.093994
2018-04-06T01:10:00Z; 142.031250; 148.710940; 147.656250; 149.765630; 150.468750; 154.335940; 158.906250; 162.070310; 163.828130; 163.828130; 165.585940; 167.695310;   6.152340;   4.687500;   5.507810;   5.859380;   5.859380;   6.562500;   7.207030;   7.500000;   7.500000;   7.441410;   7.500000;   7.382810;   7.148440;   0.114746;   0.104980;   0.097656;   0.081787;   0.074463;   0.081787;   0.063477;   0.085449;   0.086670;   0.068359;   0.081787
2018-04-06T01:20:00Z; 145.195310; 149.414060; 150.117190; 149.765630; 151.523440; 151.171880; 158.203130; 162.773440; 164.882810; 163.476560; 165.585940; 166.640630;   6.972660;   5.449220;   6.328130;   6.621090;   6.503910;   7.031250;   7.441410;   8.085940;   8.203130;   7.968750;   7.617190;   7.500000;   7.675780;   0.092773;   0.115967;   0.086670;   0.104980;   0.073242;   0.068359;   0.064697;   0.070801;   0.095215;   0.083008;   0.096436
2018-04-06T01:30:00Z; 146.953130; 151.875000; 150.117190; 151.523440; 153.984380; 156.093750; 158.906250; 163.125000; 164.531250; 165.234380; 166.289060; 164.882810;   7.792970;   5.742190;   6.679690;   7.031250;   6.914060;   7.675780;   7.968750;   8.203130;   8.261720;   8.144530;   8.261720;   8.027340;   8.085940;   0.137939;   0.096436;   0.096436;   0.085449;   0.093994;   0.087891;   0.072021;   0.096436;   0.085449;   0.109863;   0.073242
